Name,Cuisine,Rating,Likes,Dislike,Tips,Photos,Listed,Price Level,Been Here,Reasons,Area
Tim Ho Wan (添好運),Dim Sum Restaurant,7.8,183,False,74,444,329,2,0,1,北角
Din Tai Fung (鼎泰豐),Dumpling Restaurant,9.0,675,False,246,1318,1423,2,0,1,尖沙咀
Sister Wah (華姐清湯腩),Noodle House,8.1,95,False,43,222,270,1,0,1,香港
Din Tai Fung (鼎泰豐),Dumpling Restaurant,8.7,570,False,215,1002,876,2,0,1,铜锣湾
New Shanghai (新滬坊),Shanghai Restaurant,7.4,20,False,3,85,14,0,0,0,灣仔
Trusty Gourmet (信得過),Chinese Restaurant,6.9,6,False,7,28,7,1,0,0,香港
Fu Sing Shark Fin Seafood Restaurant (富聲魚翅海鮮酒家),Cantonese Restaurant,7.5,51,False,35,183,140,0,0,1,灣仔
Lin Heung Kui (蓮香居),Cantonese Restaurant,7.5,123,False,63,491,279,0,0,1,Sheung Wan
Trusty Congee King (靠得住粥麵小館),Chinese Restaurant,8.0,28,False,16,138,81,1,0,0,香港
Megan’s Kitchen (美味廚),Hotpot Restaurant,8.1,68,False,26,273,282,0,0,1,灣仔
Kau Kee Restaurant (九記牛腩),Noodle House,8.1,348,False,173,933,1235,1,0,1,中環
Kwan Kee Claypot Rice (坤記煲仔小菜),Cantonese Restaurant,7.6,28,False,11,113,26,0,0,0,Sai Ying Pun
Liu Yuan Pavilion (留園雅敘),Chinese Restaurant,7.5,34,False,22,154,75,1,0,1,灣仔
Sang Kee Seafood Restaurant (生記海鮮飯店),Seafood Restaurant,8.6,73,False,29,191,267,3,0,1,灣仔
Bombay Dreams,Indian Restaurant,8.3,108,False,49,105,202,2,0,1,中環
Ying Kee (英記麵家),Noodle House,7.0,9,False,6,76,20,1,0,0,Sai Ying Pun
Samsen (泰麵),Thai Restaurant,9.3,138,False,41,248,564,2,0,1,香港
Tak Kee Chiu Chow Restaurant (德記潮州菜館),Cantonese Restaurant,8.1,33,False,9,175,25,0,0,1,坚尼地城
Good Taste Claypot Rices and Dishes (嚐囍煲仔小菜),Chinese Restaurant,7.0,12,False,5,54,20,1,0,0,坚尼地城
