Name,Cuisine,Rating,Likes,Dislike,Tips,Photos,Listed,Price Level,BeenHere,Reasons,Area
Hong Zhou Restaurant (杭州酒家),Jiangsu Restaurant,8,27,FALSE,10,105,44,0,0,0,灣仔
1963木十豆寸,Taiwanese Restaurant,7.9,15,FALSE,5,78,127,0,0,0,香港
Isoya Japanese Vegetarian Restaurant (居素屋日本野菜料理),Japanese Restaurant,7.8,17,FALSE,15,70,49,2,0,0,香港
Cheung Hing Kee Shanghai Pan-fried Buns (祥興記上海生煎包),Dumpling Restaurant,7.8,14,FALSE,3,35,25,1,0,0,香港
Heart to Heart (Dim Sum) (點點心思點心專門店),Dim Sum Restaurant,7.7,11,FALSE,4,14,12,2,0,0,香港
Osteria Marzia,Italian Restaurant,7.4,15,FALSE,6,64,27,2,0,0,香港
Loving Hut (愛家),Vegetarian / Vegan Restaurant,7.1,26,FALSE,23,98,45,2,0,0,灣仔
Liza Veggies (麗姐廚房),Vegetarian / Vegan Restaurant,7.1,13,FALSE,8,126,26,2,0,0,灣仔
An Nam Pho (安南越式牛肉粉),Vietnamese Restaurant,7,5,FALSE,4,20,1,2,0,0,灣仔
Sing Kee Seafood Restaurant (星記海鮮飯店),Hong Kong Restaurant,8.2,13,FALSE,3,32,25,0,0,0,香港
Seventh Son Restaurant (家全七福酒家),Cantonese Restaurant,8,16,FALSE,2,56,58,0,0,0,灣仔
Sichuan Paradise (天府人家),Szechuan Restaurant,7.5,23,FALSE,7,95,19,0,0,0,灣仔
Thai Farmer Restaurant,Thai Restaurant,7.5,35,FALSE,24,62,39,2,0,1,灣仔
Racha Moo Yang,Thai Restaurant,7.4,10,FALSE,13,52,10,2,0,0,灣仔
Zagin Soba (座銀),Soba Restaurant,8.8,28,FALSE,6,59,44,0,0,0,跑马地
Tasty Congee & Noodle Wantun Shop (正斗粥麵專家),Hong Kong Restaurant,8.1,42,FALSE,11,62,90,0,0,1,跑马地
Nagomi (和),Japanese Restaurant,8,10,FALSE,12,28,13,2,0,0,跑马地
Nan Tei 南亭 (南亭),Japanese Restaurant,8,27,FALSE,6,33,16,2,0,0,跑马地
Na Thai,Thai Restaurant,8,11,FALSE,5,26,9,2,0,0,跑马地
Cheung Hing Coffee Shop (祥興咖啡室),Hong Kong Restaurant,7.9,52,FALSE,25,184,68,0,0,1,跑马地
新昌明食店,Chinese Restaurant,7.3,16,FALSE,8,48,19,1,0,0,跑马地
Hong Kong Cuisine (壹玖捌叁),Chinese Restaurant,6.9,11,FALSE,4,36,6,1,0,0,跑马地
Locanda dell'Angelo,Italian Restaurant,6.9,9,FALSE,9,61,14,2,0,0,香港
Cheong Kee 昌記,Hong Kong Restaurant,6.9,9,FALSE,3,65,18,0,0,0,香港
Aji Yakitori (味),Japanese Restaurant,6.8,6,FALSE,1,5,2,2,0,0,跑马地
Saint-Germain,French Restaurant,6.8,23,FALSE,22,57,15,3,0,0,跑马地
Gi Kee Restaurant (銖記海鮮酒家),Chinese Restaurant,6.8,27,FALSE,7,92,22,1,0,0,跑马地
Chuk Yuen Seafood Restaurant (竹園海鮮飯店),Seafood Restaurant,6.5,7,FALSE,7,59,13,3,0,0,跑马地
Shanghai Lane 上海弄堂 (上海弄堂),Shanghai Restaurant,6.3,11,FALSE,7,26,6,0,0,0,跑马地
Mekong Riverside Cuisine 湄公河畔法式越南餐廳,Vietnamese Restaurant,5.9,8,FALSE,3,18,5,2,0,0,跑马地
Isola Bar & Grill,Italian Restaurant,7.9,181,FALSE,81,543,215,2,0,1,中環
Dear Lilly,Mediterranean Restaurant,7.8,28,FALSE,7,59,36,2,0,0,香港
K-Roll,Korean Restaurant,7.3,16,FALSE,8,19,3,2,0,0,中環
Francis,Middle Eastern Restaurant,8.4,26,FALSE,8,50,39,2,0,0,香港
The Spice House,Thai Restaurant,8.4,57,FALSE,32,72,75,2,0,1,香港
Three Blind Mice,Italian Restaurant,8.2,13,FALSE,3,16,9,2,0,0,灣仔
Ham and Sherry,Spanish Restaurant,8.2,131,FALSE,52,182,230,2,0,1,香港
Kanizen (蟹膳),Japanese Restaurant,8.2,26,FALSE,12,187,59,2,0,0,香港
22 Ships,Tapas Restaurant,7.9,192,FALSE,113,652,612,3,0,1,Hong Kong
Yu Chuan Club (渝川菜館),Szechuan Restaurant,7.8,17,FALSE,4,34,19,0,0,0,灣仔
Deng G (鄧記),Chinese Restaurant,7.8,11,FALSE,2,28,26,1,0,0,香港
My Cup of Tea (我杯茶),Hong Kong Restaurant,7.8,7,FALSE,5,20,9,0,0,0,香港
Sun King Yuen Curry Restaurant (新景園咖喱小廚),Hong Kong Restaurant,7.7,32,FALSE,30,97,68,0,0,1,灣仔
Santorini Greek Taverna,Greek Restaurant,7.9,10,FALSE,3,49,12,2,0,0,香港
Ichu Peru,Peruvian Restaurant,8.1,17,FALSE,3,72,26,2,0,0,香港
Brass Spoon,Asian Restaurant,8.1,27,FALSE,10,36,55,2,0,0,中環
Agehan あげ半,Japanese Restaurant,7.8,18,FALSE,10,48,20,2,0,0,中環
Sushi Sei (誠),Sushi Restaurant,7.6,18,FALSE,3,77,11,2,0,0,中環
Tim Ho Wan (添好運),Dim Sum Restaurant,7.6,467,FALSE,235,1592,1222,1,0,1,中環
Crystal Jade La Mian Xiao Long Bao (翡翠拉麵小籠包),Shanghai Restaurant,7.4,156,FALSE,106,416,170,0,0,1,香港
Mott 32 (卅二公館),Dim Sum Restaurant,9,412,FALSE,130,1010,1287,3,0,1,香港
City Hall Maxim's Café (大會堂美心餐廳),Hong Kong Restaurant,8.2,26,FALSE,3,60,58,0,0,0,中環
Peking Garden (北京樓),Beijing Restaurant,8,112,FALSE,31,266,167,0,0,1,"Central, Central and Western District"
Green Common,Vegetarian / Vegan Restaurant,7.8,11,FALSE,5,20,15,2,0,0,中区
Zuma,Japanese Restaurant,8.7,329,FALSE,140,591,726,2,0,1,中環
Portico,Italian Restaurant,8.1,6,FALSE,2,7,9,2,0,0,香港
China Tang (唐人館),Chinese Restaurant,8,47,FALSE,10,102,85,1,0,1,中区
Mak Mak,Thai Restaurant,7.9,50,FALSE,15,85,69,2,0,1,
Spiga,Italian Restaurant,7.8,26,FALSE,6,74,38,2,0,0,中区
La Petite Maison,French Restaurant,8.5,13,FALSE,1,85,33,3,0,0,香港
The Sports Club (五陵會),Chinese Restaurant,7.7,16,FALSE,8,54,7,1,0,0,中環
Ronin,Japanese Restaurant,8.7,155,FALSE,58,370,757,2,0,1,中環
Bindaas Bar & Kitchen,Indian Restaurant,8.6,41,FALSE,19,37,63,2,0,1,中環
Godenya,Japanese Restaurant,8.3,12,FALSE,4,33,40,2,0,0,中区
Sang Kee Congee Shop (生記粥品專家),Chinese Restaurant,8.3,97,FALSE,40,233,399,1,0,1,Sheung Wan
Central Indian Restaurant,Indian Restaurant,8.2,13,FALSE,5,43,27,2,0,0,香港
Social Place (唐宮小聚),Dim Sum Restaurant,8.1,122,FALSE,49,366,219,2,0,1,"Central, Central and Western District"
Dragon State Kitchen Restaurant (龍邦燒味小廚茶餐廳),Hong Kong Restaurant,8.1,20,FALSE,10,57,41,0,0,0,Sheung Wan
Zagin Soba (座銀),Ramen Restaurant,7.7,21,FALSE,10,45,28,0,0,0,香港
Cheung Hing Kee Shanghai Pan-fried Buns (祥興記上海生煎包),Dumpling Restaurant,8.8,16,FALSE,8,35,51,1,0,0,中環
Mana! Fast Slow Food,Vegetarian / Vegan Restaurant,8.4,331,FALSE,148,544,699,2,0,1,中環
Tango Argentinian Steakhouse,Argentinian Restaurant,8.2,70,FALSE,46,188,70,2,0,1,中環
Keyaki,Japanese Restaurant,8,19,FALSE,10,34,24,2,0,0,香港
Beyrouth Bistro,Middle Eastern Restaurant,8,28,FALSE,20,36,22,2,0,0,中環
Te Quiero Mucho,Mexican Restaurant,8.9,10,FALSE,8,23,19,1,0,0,香港
Yakiniku Great,Japanese Restaurant,7.7,37,FALSE,12,129,78,2,0,1,
Lobster Bar and Grill,Seafood Restaurant,8.1,73,FALSE,34,236,173,3,0,1,中環
Ammo Restaurant & Bar,Italian Restaurant,8,75,FALSE,38,240,165,2,0,1,中環
Tien Yi Chinese Restaurant (天一酒家),Cantonese Restaurant,7.7,24,FALSE,9,42,8,0,0,0,金鐘
Waterside Terrace,Thai Restaurant,7.6,7,FALSE,3,26,2,2,0,0,中環
Fish Bar & Grill (Fish Bar & Grill 魚吧),Seafood Restaurant,7.6,29,FALSE,22,124,23,3,0,0,金鐘
